epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1408.85,1.08814,1.76172,1.2281,0.23086,0.18768,0.10774,0.07366,1.3401,3.99875,1.67956,0.000645159,0.000645159,0.000645159
43,1432.42,1.14004,1.75146,1.23265,0.11603,0.11352,0.09106,0.06877,1.37589,5.68108,1.59995,0.000640577,0.000640577,0.000640577
44,1454.88,1.12477,1.74931,1.22504,0.09057,0.18099,0.09999,0.06642,1.36158,5.67576,1.64068,0.000635995,0.000635995,0.000635995
45,1478.3,1.14291,1.71292,1.2182,0.13696,0.21474,0.1218,0.09325,1.3423,4.85309,1.58599,0.000631414,0.000631414,0.000631414
46,1502.06,1.11443,1.68268,1.20352,0.0878,0.16407,0.1031,0.06905,1.4855,7.00057,1.72586,0.000626832,0.000626832,0.000626832
47,1526.55,1.09651,1.80015,1.22181,0.3416,0.19443,0.12475,0.08883,1.36639,4.47568,1.59488,0.000622251,0.000622251,0.000622251
48,1549.68,1.0758,1.67761,1.21386,0.20269,0.15393,0.13736,0.09794,1.40401,4.06366,1.64179,0.00061767,0.00061767,0.00061767
49,1573.21,1.13421,1.72161,1.2237,0.21235,0.11907,0.12762,0.08496,1.52161,3.77249,1.74624,0.000613088,0.000613088,0.000613088
50,1596.97,1.07182,1.70546,1.23256,0.39254,0.15928,0.14889,0.09876,1.42629,4.24712,1.65132,0.000608507,0.000608507,0.000608507
51,1621.84,1.04011,1.5944,1.19618,0.13979,0.15364,0.09426,0.06417,1.42927,4.06369,1.68977,0.000603925,0.000603925,0.000603925
52,1646.52,1.07613,1.6944,1.20933,0.14104,0.14185,0.13293,0.0848,1.3414,4.01759,1.63925,0.000599343,0.000599343,0.000599343
53,1670.49,1.06977,1.552,1.18708,0.11591,0.2272,0.10558,0.07035,1.47447,3.83943,1.80579,0.000594762,0.000594762,0.000594762
54,1694.97,1.08982,1.55008,1.19826,0.14265,0.22342,0.13387,0.0961,1.38984,4.8031,1.62205,0.00059018,0.00059018,0.00059018
55,1720.11,1.11949,1.56633,1.22418,0.15024,0.18279,0.12844,0.09557,1.35543,6.40629,1.59319,0.000585599,0.000585599,0.000585599
56,1744.07,1.01761,1.61267,1.20449,0.17727,0.24026,0.15138,0.11117,1.31031,4.75391,1.55928,0.000581018,0.000581018,0.000581018
57,1768.6,1.07271,1.54211,1.20229,0.18236,0.14784,0.11033,0.08035,1.48494,4.51477,1.75866,0.000576436,0.000576436,0.000576436
